"nome","resumo","coordenador"
"O USO DE LEGUMINOSAS NA REVITALIZAÇÃO DOS SOLOS DO MUNICÍPIO DE SÃO GONÇALO","Em breve este conteúdo estará disponível.","Ana Valéria Freire Allemão Bertolino "
"DINÂMICA E EROSÃO DE PRAIAS NO LITORAL SUL FLUMINENSE (RJ)","Em breve este conteúdo estará disponível.","André Luiz Carvalho Da Silva "
"GEOGRAFIA POLÍTICA E GEOPOLÍTICA DAS IMAGENS","Em breve este conteúdo estará disponível.","André Reyes Novaes "
"GEOGRAFIA NO ENSINO FUNDAMENTAL: FORMAÇÃO DOCENTE E PRODUÇÃO DE MATERIAIS DIDÁTICOS","Em breve este conteúdo estará disponível.","Andre Tinoco De Vasconcelos "
"PESQUISANDO RAÇA E RACISMO COMO ELEMENTOS DA FORMAÇÃO E ORGANIZAÇÃO DO TERRITÓRIO BRASILEIRO","Em breve este conteúdo estará disponível.","Andre Tinoco De Vasconcelos "
"AS CONTRIBUIÇÕES DA GEOGRAFIA FÍSICA TECENDO SABERES DISCENTES E DOCENTES NA PERSPECTIVA AMBIENTAL","Em breve este conteúdo estará disponível.","Andréa Paula De Souza "
"EXPERIMENTOTECA DE GEOGRAFIA E MEIO AMBIENTE","Em breve este conteúdo estará disponível.","Andréa Paula De Souza "
"GEOGRAFIA FÍSICA MONITORAMENTO E ANÁLISE AMBIENTAL NA BAIXADA FLUMINENSE","Em breve este conteúdo estará disponível.","Andréa Paula De Souza "
"MONITORIA EM GEOMORFOLOGIA CONTINENTAL - FFP05-09104","Em breve este conteúdo estará disponível.","Anice Esteves Afonso "
"APRIMORAMENTO DE MATERIAIS E MÉTODOS PARA O ENSINO DE GEOGRAFIA FÍSICA","Em breve este conteúdo estará disponível.","Anice Esteves Afonso "
"RACIOCÍNIO GEOGRÁFICO DA BNCC COMO ORGANIZAÇÃO DO TRABALHO PEDAGÓGICO PARA A GEOGRAFIA QUE SE ENSINA","Em breve este conteúdo estará disponível.","Astrogildo Luiz De França Filho "
"MONITORIA EM ESTÁGIO DE CAMPO II: APRENDER E ENSINAR UMA GEOGRAFIA FÍSICA INTEGRADORA","Em breve este conteúdo estará disponível.","Carlos Eduardo Das Neves "
"GEOSSISTEMA-TERRITÓRIO-PAISAGEM (GTP) E AS UNIDADES DE CONSERVAÇÃO NO ESTADO DO RIO DE JANEIRO","Em breve este conteúdo estará disponível.","Carlos Eduardo Das Neves "
"O PAPEL DA GEOGRAFIA NA CONSTRUÇÃO DA PERCEPÇÃO DE RISCO A DESASTRES NATURAIS","Em breve este conteúdo estará disponível.","Cássia Barreto Brandão "
"CINEMA E LITERATURA COMO RECURSO PARA FORMAÇÃO DOCENTE E COMPREENSÃO DA FORMAÇÃO ESPACIAL BRASILEIRA","Em breve este conteúdo estará disponível.","Charlles Da França Antunes "
"MONITORIA DA DISCIPLINA ORGANIZAÇÃO DO ESPAÇO GEOGRÁFICO MUNDIAL I","Em breve este conteúdo estará disponível.","Denilson a De Oliveira "
"MONITORIA DA DISCIPLINA ORGANIZAÇÃO DO ESPAÇO GEOGRÁFICO MUNDIAL II","Em breve este conteúdo estará disponível.","Denilson a De Oliveira "
"O TRABALHO DE CAMPO COMO INSTRUMENTO DE COMBATE AO RACISMO NO CONTEXTO NEOLIBERAL","Em breve este conteúdo estará disponível.","Denilson a De Oliveira "
"A LEI 10.639/03 E O ENFRENTAMENTO AO RACISMO","Em breve este conteúdo estará disponível.","Denilson a De Oliveira "
"GEOGRAFIA E LITERATURA NA INTERPRETAÇÃO DO BRASIL E NA FORMAÇÃO DO PROFESSOR/PESQUISADOR","Em breve este conteúdo estará disponível.","Felipe Moura Fernandes "
"MONITORIA DE ECOLOGIA POLÍTICA I (FEBF10-08326)","Em breve este conteúdo estará disponível.","Felipe Rangel Tavares "
"ENSINO DE GEOGRAFIA E RELAÇÃO NATUREZA/SOCIEDADE: DESENVOLVENDO RACIOCÍNIOS GEOGRÁFICOS","Em breve este conteúdo estará disponível.","Felipe Rangel Tavares "
"ATLAS DAS TERRITORIALIDADES AGROECOLÓGICAS E DO COMUM NA METRÓPOLE FLUMINENSE","Em breve este conteúdo estará disponível.","Felipe Rangel Tavares "
"ELEMENTOS DA DINÂMICA DA POPULAÇÃO NAS PERIFERIAS: CONSTRUÇÃO DE PLATAFORMAS DE FORMAÇÃO POLÍTICA","Em breve este conteúdo estará disponível.","Frederico Duarte Irias "
"EDUCAÇÃO QUILOMBOLA","Em breve este conteúdo estará disponível.","Gabriel Siqueira "
"METODOLOGIAS E PRÁTICAS DE PESQUISA PARA APLICAÇÃO DA LEI 10.639/03","Em breve este conteúdo estará disponível.","Gabriel Siqueira "
"NARRATIVAS POPULACIONAIS EM LIVROS DIDÁTICOS DE GEOGRAFIA: DEBATENDO A APLICAÇÃO DA LEI 10.639/03","Em breve este conteúdo estará disponível.","Gabriel Siqueira "
"A ESCOLA PÚBLICA COMO ESPAÇO PÚBLICO: RENDIMENTO ESCOLAR E CONVÍVIO NO CAP-UERJ","Em breve este conteúdo estará disponível.","Hilton Marcos Costa Da Silva Junior "
"A GEOGRAFIA DA SALA DE AULA: CONVÍVIO E RENDIMENTO ESCOLAR NO CAP-UERJ","Em breve este conteúdo estará disponível.","Hilton Marcos Costa Da Silva Junior "
"GEOTECNOLOGIAS APLICADAS À MODELAGEM DE DADOS AMBIENTAIS E PREVENÇÃO DE DESASTRES NATURAIS","Em breve este conteúdo estará disponível.","Isabela Habib Canaan Da Silva "
"PROPOSTAS E MATERIAIS DIDÁTICOS PARA O ENSINO DE GEOGRAFIA: A CARTOGRAFIA DO ESPAÇO VIVIDO.","Em breve este conteúdo estará disponível.","Isabela Habib Canaan Da Silva "
"A VIOLÊNCIA DE GÊNERO E AS HERANÇAS DO PATRIARCADO: A ESCOLA COMO UM ESPAÇO DE TRANSFORMAÇÃO","Em breve este conteúdo estará disponível.","Ivan Ignácio Pimentel "
"TEMAS INTERSECCIONAIS NA DOCÊNCIA: RAÇA GÊNERO E OUTROS MARCADORES NAS TRAJETÓRIAS EDUCATIVAS","Em breve este conteúdo estará disponível.","Joana Cruz De Simoni "
"MAPEAMENTO E DIVULGAÇÃO DAS EXPERIÊNCIAS DE AGROECOLOGIA NA BAIXADA FLUMINENSE - RJ","Em breve este conteúdo estará disponível.","Joana Cruz De Simoni "
"CONSTRUÇÃO DE UM ACERVO MIDIÁTICO E BIBLIOGRÁFICO DE GEOGRAFIA DA POPULAÇÃO","Em breve este conteúdo estará disponível.","Joao Carlos Carvalhaes Dos Santos Monteiro "
"AFROTURISMO E A CONSTRUÇÃO DE REPRESENTAÇÕES ESPACIAIS NA ZONA PORTUÁRIA DO RIO DE JANEIRO","Em breve este conteúdo estará disponível.","Joao Carlos Carvalhaes Dos Santos Monteiro "
"CARTOGRAFANDO URBANO LUGAR E O COTIDIANO: ATLAS ESCOLAR PARTICIPATIVO","Em breve este conteúdo estará disponível.","João Marçal Bodê De Moraes "
"PROJETO DE MONITORIA","Em breve este conteúdo estará disponível.","Jorge Luiz Raposo Braga "
"OFICINA DE PRODUÇÃO DE MATERIAIS DIDÁTICOS - AS DISTINTAS REPRESENTAÇÕES DO ESPAÇO MUNDIAL","Em breve este conteúdo estará disponível.","Jorge Luiz Raposo Braga "
"CENÁRIOS AMBIENTAIS EM TERRITÓRIOS PROTEGIDOS: CONFLITOS E DISPUTAS TERRITORIAIS","Em breve este conteúdo estará disponível.","Leandro Andrei Beser De Deus "
"PROJETO DIÁLOGOS E IMAGENS: EDUCAÇÃO AMBIENTAL POPULAR EM COMUNIDADES TRADICIONAIS","Em breve este conteúdo estará disponível.","Leandro Andrei Beser De Deus "
"SUPORTE AO GRUPO NEGEO/UERJ: PROJETO CENÁRIOS DE USO E COBERTURA DA TERRA NO MATOPIBA/CERRADO","Em breve este conteúdo estará disponível.","Leandro Andrei Beser De Deus "
"MONITORIA EM HISTÓRIA DO PENSAMENTO GEOGRÁFICO - DGEO-FFP/UERJ","Em breve este conteúdo estará disponível.","Leonardo Arantes Ventura Da Silva "
"CLÁSSICOS DO PENSAMENTO GEOGRÁFICO: APRENDENDO E ENSINANDO HISTÓRIA TEORIA E MÉTODO DA GEOGRAFIA","Em breve este conteúdo estará disponível.","Leonardo Arantes Ventura Da Silva "
"A CIDADE DO RIO DE JANEIRO COMO SALA DE AULA: EDUCAR E APRENDER NO TERRITÓRIO","Em breve este conteúdo estará disponível.","Leonardo Freire Marino "
"A CIDADE DO RIO DE JANEIRO COMO SALA DE AULA","Em breve este conteúdo estará disponível.","Leonardo Freire Marino "
"TRABALHO DOCENTE E ENSINO DE GEOGRAFIA NO ENSINO FUNDAMENTAL E MÉDIO EM PERIFERIAS URBANAS","Em breve este conteúdo estará disponível.","Lorena Lopes Pereira Bonomo "
"MONITORIA PARA DISCIPLINA DE GRADUAÇÃO: GEOGRAFIA URBANA – FFP05-09106 - CH: 90H","Em breve este conteúdo estará disponível.","Luis Henrique Leandro Ribeiro "
"ESTÁGIO NO PROJETO DIGITALIZAÇÃO DO TERRITÓRIO: MATERIALIDADES E SENTIDOS DA AÇÃO","Em breve este conteúdo estará disponível.","Luis Henrique Leandro Ribeiro "
"ESTÁGIO NO PROJETO DIGITALIZAÇÃO DO ESPAÇO GEOGRÁFICO MUNDO DO TRABALHO E DIREITO AO TERRITÓRIO","Em breve este conteúdo estará disponível.","Luis Henrique Leandro Ribeiro "
"INICIAÇÃO À DOCÊNCIA NO PROJETO DIGITALIZAÇÃO DO TERRITÓRIO: MATERIALIDADES E SENTIDOS DA AÇÃO","Em breve este conteúdo estará disponível.","Luis Henrique Leandro Ribeiro "
"GEOGRAFIA E TURISMO: POSSIBILIDADES DE APOIO AO DESENVOLVIMENTO TERRITORIAL POR MEIO DA EDUCAÇÃO","Em breve este conteúdo estará disponível.","Marcela Do Nascimento Padilha "
"A PRESENÇA INDÍGENA NO RIO DE JANEIRO E A FORMAÇÃO TERRITORIAL DO BRASIL","Em breve este conteúdo estará disponível.","Marcos César Araujo Carvalho "
"ESTAÇÃO CLIMATOLÓGICA COMO FERRAMENTA PARA O ENSINO DO TEMA CLIMA NO MUNICÍPIO DE SÃO GONÇALO (RJ)","Em breve este conteúdo estará disponível.","Maria Luiza Félix Marques Kede "
"PROJETO DE MONITORIA PARA A DISCIPLINA HISTÓRIA DO PENSAMENTO GEOGRÁFICO","Em breve este conteúdo estará disponível.","Mariana Araujo Lamego "
"A IMPORTÂNCIA DA MONITORIA PARA A DISCIPLINA GEOGRAFIA CULTURAL","Em breve este conteúdo estará disponível.","Marianna Fernandes Moreira "
"CARTOGRAFIAS DO CAMINHAR DE MULHERES CAMELÔS DO CENTRO DA CIDADE DO RIO DE JANEIRO","Em breve este conteúdo estará disponível.","Marianna Fernandes Moreira "
"CIDADE ESCOLA E JUVENTUDES: ESPACIALIDADES TECIDAS EM TERRITÓRIOS PERIFÉRICOS","Em breve este conteúdo estará disponível.","Mário Pires Simão "
"A REPRESENTAÇÃO ESPACIAL INCLUSIVA NA FORMAÇÃO DO GRADUANDO EM GEOGRAFIA DA UERJ","Em breve este conteúdo estará disponível.","Marta Foeppel Ribeiro "
"ESCALAS E REDES NA PRODUÇÃO DA PERIFERIA: EXPLORAÇÕES METODOLÓGICAS A PARTIR DE MIGRAÇÕES REGIONAIS","Em breve este conteúdo estará disponível.","Matheus Da Silveira Grandi "
"PRÁTICA DE PESQUISA EM GEOGRAFIA","Em breve este conteúdo estará disponível.","Monica Sampaio Machado "
"PROJETO SABER PARA MUDAR - CIÊNCIAS HUMANAS","Em breve este conteúdo estará disponível.","Nilo Sérgio D´avila Modesto "
"SOB UM CÉU SEM ARCO-ÍRIS: A ESPACIALIDADE LGBTQIAPN+ NO RIO DE JANEIRO","Em breve este conteúdo estará disponível.","Nilton Abranches Junior "
"PARA MUITO ALÉM DE ABRIR AS PORTAS: O ENSINO DE GEOGRAFIA E A ESCOLARIZAÇÃO DOS SUJEITOS LGBT+ NO RJ","Em breve este conteúdo estará disponível.","Nilton Abranches Junior "
"MONITORIA DE TEORIA E PRÁTICA EM GEOPROCESSAMENTO","Em breve este conteúdo estará disponível.","Patrick Kuchler "
"COMPREENDENDO AS TRAJETÓRIAS DE USO E COBERTURA E OS OBJETIVOS DE DESENVOLVIMENTO SUSTENTÁVEL","Em breve este conteúdo estará disponível.","Patrick Kuchler "
"EDUCAÇÃO DO CAMPO","Em breve este conteúdo estará disponível.","Paulo Roberto Raposo Alentejano "
"REALIDADE AUMENTADA E REPRESENTAÇÕES ESPACIAIS:POSSIBILIDADES PARA A CONSTRUÇÃO DO SABER GEOGRÁFICO.","Em breve este conteúdo estará disponível.","Phillipe Valente Cardoso "
"GEOGRAFIA URBANA","Em breve este conteúdo estará disponível.","Rafael Da Costa Gonçalves De Almeida "
"APOIO ÀS ATIVIDADES DE ENSINO E APRENDIZAGEM EM GEOGRAFIA DA INDÚSTRIA","Em breve este conteúdo estará disponível.","Regina Helena Tunes "
"GEOGRAFIA DA INDÚSTRIA NA EDUCAÇÃO BÁSICA: SITUAÇÕES DE APRENDIZAGEM PARA O ENSINO MÉDIO","Em breve este conteúdo estará disponível.","Regina Helena Tunes "
"EDITORAÇÃO E DIVULGAÇÃO CIENTÍFICA A PARTIR DA GEOUERJ","Em breve este conteúdo estará disponível.","Regina Helena Tunes "
"MONITORIA EM GEOPROCESSAMENTO","Em breve este conteúdo estará disponível.","Rodrigo Batista Lobato "
"EDUCAÇÃO E COMUNICAÇÃO PELAS IMAGENS: CARTOGRAFIA ESCOLAR SEUS MULTILETRAMENTOS E PRÁTICAS SOCIAIS","Em breve este conteúdo estará disponível.","Rodrigo Batista Lobato "
"CARTOGRAFIAS HISTÓRICAS NA BAIXADA FLUMINENSE","Em breve este conteúdo estará disponível.","Rodrigo Batista Lobato "
"FORMAS SIMBÓLICAS ESPACIAIS DO SAMBA","Em breve este conteúdo estará disponível.","Rodrigo Batista Lobato "
"EDUCAÇÃO E COMUNICAÇÃO PELAS IMAGENS E SUAS CARTOGRAFIAS SUBALTERNIZADAS","Em breve este conteúdo estará disponível.","Rodrigo Batista Lobato "
"A GÊNESE DA CONSCIÊNCIA CARTOGRÁFICA NA CRIANÇA","Em breve este conteúdo estará disponível.","Rodrigo Batista Lobato "
"MUDANÇAS GLOBAIS E REALIDADES LOCAIS:A FRONTEIRA DA CIÊNCIA COMO INSTRUMENTO À DIVULGAÇÃO CIENTÍFICA","Em breve este conteúdo estará disponível.","Rodrigo Coutinho Abuchacra "
"MONITORIA DA DISCIPLINA GEOMORFOLOGIA CONTINENTAL","Em breve este conteúdo estará disponível.","Rodrigo Wagner Paixão Pinto "
"MORFOGÊNESE DA SERRA DO MAR NO ESTADO DO RIO DE JANEIRO: MECANISMOS DE REORDENAMENTO FLUVIAL","Em breve este conteúdo estará disponível.","Rodrigo Wagner Paixão Pinto "
"PRODUÇÃO DE ROTEIROS PEDAGÓGICOS GEOGRÁFICOS: TRABALHO DE CAMPO FUNDAMENTAL NA FORMAÇÃO DE GEÓGRAFOS","Em breve este conteúdo estará disponível.","Simone Lisboa Dos Santos Da Silva "
"MONITORIA DE APOIO DA DISCIPLINA GEOMORFOLOGIA COSTEIRA 2024-2025","Em breve este conteúdo estará disponível.","Thiago Gonçalves Pereira "
"PROCESSOS DE FORMAÇÃO E TRANSFORMAÇÃO DAS DUNAS COSTEIRAS NO LITORAL DE CABO FRIO/RJ","Em breve este conteúdo estará disponível.","Thiago Gonçalves Pereira "
"NOVAS E VELHAS DINÂMICAS PROMOTORAS DE DESIGUALDADES NO BRASIL: UM OLHAR ATRAVÉS DA REGIÃO","Em breve este conteúdo estará disponível.","Thiago Roniere Rebouças Tavares "
"GEOGRAFIA DO MUNDO CONTEMPORÂNEO: UM OLHAR DESDE AS SEMIPERIFERIAS E DAS PERIFERIAS","Em breve este conteúdo estará disponível.","Thiago Roniere Rebouças Tavares "
"(IN)JUSTIÇA E RACISMO AMBIENTAL NA PERIFERIA CARIOCA: IMPACTOS URBANO-AMBIENTAIS EM SANTA CRUZ-RJ","Em breve este conteúdo estará disponível.","Thiago Roniere Rebouças Tavares "
"PROJETO INICIAÇÃO À DOCÊNCIA EM GEOGRAFIA: A SIMULAÇÃO DA ONU COMO ESTRATÉGIA PEDAGÓGICA NO CAP-UERJ","Em breve este conteúdo estará disponível.","Tiago Santos De Vasconcelos "
"SUPORTE EM GEOPROCESSAMENTO PARA O LABORATÓRIO DE GEOGRAFIA HUMANA","Em breve este conteúdo estará disponível.","Ulisses Da Silva Fernandes "
"A INCLUSÃO NO ENSINO DE GEOGRAFIA E A COGNIÇÃO ESPACIAL DOS ALUNOS CEGOS OU COM BAIXA VISÃO","Em breve este conteúdo estará disponível.","Vânia Regina Jorge Da Silva "
"GEOPOLÍTICA DA EUROPA FRENTE AO AVANÇO EURASIANO: PERSPECTIVAS A PARTIR DAS AÇÕES COMUNITÁRIAS","Em breve este conteúdo estará disponível.","Vitor Stuart Gabriel De Pieri "
